,Coefficient,Std Err,t-Statistic,P-Value
treatment_pre_202109,0.005551167030811592,0.03595530971210858,0.15439074437848993,0.8773059190890325
treatment_pre_202110,0.03916073590719979,0.03595530971210775,1.0891502874195136,0.27612357036830026
treatment_pre_202111,0.04660913654064687,0.03595530971210629,1.2963074692957908,0.19491055460092185
treatment_pre_202112,0.01977331640267603,0.035955309712109855,0.5499414846096102,0.5823763339065272
treatment_post_202201,-0.048219551,0.03648224304790464,-1.321726604,0.18630062415013587
treatment_post_202202,-0.017344039,0.03648224304790583,-0.475410435,0.6345086829384705
treatment_post_202203,-0.00906894,0.036482243047904844,-0.248585045,0.8036887703698377
treatment_post_202204,-0.010854049,0.03648224304790484,-0.297515936,0.7660811095219622
treatment_post_202205,0.01502989850756814,0.03648224304790566,0.41197846546419964,0.6803673035456247
