,Coefficient,Std Err,t-Statistic,P-Value
treatment_pre_201809,1.7190153992292898,4.020100975713052,0.4276050302254871,0.6689507326283131
treatment_pre_201810,1.852668732555522,4.020100975712953,0.4608512929770269,0.6449183924252897
treatment_pre_201811,2.807135399220155,4.020100975713054,0.6982748483630433,0.48502653892284775
treatment_post_201812,1.8684020658855296,4.020100975712975,0.4647649591821917,0.6421130043181729
treatment_post_201901,1.041325452607734,3.952646001563577,0.26345021846019334,0.7922106802216207
treatment_post_201902,-3.836874547,3.9526460015636213,-0.970710391,0.3317231894174574
treatment_post_201903,-0.991807881,3.9526460015635867,-0.250922516,0.8018807512166733
treatment_post_201904,-1.707954547,3.952646001563596,-0.432104101,0.6656779264783115
